54 2 9 6
1 9
4 7
21.5 23 1.0
24.5 20 1.0
19.5 19 1.0
22.5 15 1.0
24.5 12 1.0
19.5 12 1.0
22.5 8 1.0
24.5 4 1.0
21.5 2 1.0
19.5 5 1.0
16.5 3 1.0
13.5 1 1.0
12.5 5 1.0
8.5 6 1.0
5.5 3 1.0
1.5 2 1.0
1.5 8 1.0
5.5 10 1.0
3.5 13 1.0
0.5 17 1.0
4.5 18 1.0
1.5 23 1.0
6.0 24 1.0
1.5 30 1.0
4.5 30 1.0
7.5 31 1.0
8.5 26 1.0
10.5 31 1.0
12.5 26 1.0
13.5 31 1.0
15.5 28 1.0
17.5 31 1.0
19.5 26 1.0
21.5 30 1.0
24.5 27 1.0
26.5 31 1.0
27.5 26 1.0
30.5 31 1.0
30.5 26 1.0
33.5 28 1.0
36.5 30 1.0
39.5 30 1.0
35.5 24 1.0
40.5 22 1.0
37.5 19 1.0
34.5 16 1.0
39.5 14 1.0
35.5 10 1.0
39.5 6 1.0
38.5 1 1.0
35.5 4 1.0
31.5 6 1.0
28.5 5 1.0
26.5 2 1.0
1 33 2 3 34 32
4 5 6 7 8 10
9 54 11 12 53 13
14 15 18 17 16 19
20 21 22 23 24 25
26 28 27 30 29 31
35 36 37 39 38 40
41 42 43 44 45 46
47 48 49 50 51 52
